show_id,type,title,director,cast,date_added,release_year,rating,duration,listed_in,plataforma,age_category,genres
s7376,TV Show,Maggie & Bianca: Fashion Friends,Iginio Straffi,"Emanuela Rei, Giorgia Boni, Sergio Ruggeri, Luca Murphy, Federica Corti, Federico Pedroni, Tiffany Zhou, Sergio Melone",2019-03-31,2017,TV-Y7,1 Season,"Kids' TV, TV Comedies",netflix,Para niños mayores,"[""Kids' TV"", ' TV Comedies']"
s7377,TV Show,Magi: Adventure of Sinbad,Desconocido,"Daisuke Ono, Tomokazu Sugita, Takahiro Sakurai, Keiji Fujiwara, Akira Ishida, Katsuyuki Konishi, Yoko Hikasa, Ai Kayano, Takehito Koyasu, Hiroki Touchi",2016-07-14,2016,TV-14,1 Season,"Anime Series, International TV Shows",netflix,Para adolescentes,"['Anime Series', ' International TV Shows']"
s7378,Movie,Magic Snowflake,Luc Vinciguerra,"Nathan Simony, BenoÃ®t Allemane, Vincent Grass, Jean-Claude Donda, Alexis Tomassian, Pascal Sellem, Evelyne Grandjean, Alice RÃ©vÃ©rend, Kylian Trouillard, CÃ©line Melloul",2015-12-20,2013,TV-Y,73 min,Children & Family Movies,netflix,Para todas las edades / niños pequeños,['Children & Family Movies']
s7379,Movie,Magnetic,Thierry Donard,"Tom Barrer, Liam Whaley, Wille Lindberg, Sam Favret, Fabian Bodet, Jamie Lee, Lorenzo Avvenenti, Ross Clarke-Jones",2020-06-12,2018,TV-14,110 min,"Action & Adventure, Documentaries, International Movies",netflix,Para adolescentes,"['Action & Adventure', ' Documentaries', ' International Movies']"
s7380,Movie,Magnus,Benjamin Ree,Magnus Carlsen,2017-02-22,2016,TV-PG,75 min,"Children & Family Movies, Documentaries, International Movies",netflix,Para niños mayores,"['Children & Family Movies', ' Documentaries', ' International Movies']"
s7381,Movie,Mahabharat,Amaan Khan,"Amitabh Bachchan, Ajay Devgn, Vidya Balan, Shatrughan Sinha, Sunny Deol, Anil Kapoor, Manoj Bajpayee, Jackie Shroff, Anupam Kher, Deepti Naval",2018-08-01,2013,TV-14,119 min,"Action & Adventure, Dramas, International Movies",netflix,Para adolescentes,"['Action & Adventure', ' Dramas', ' International Movies']"
s7382,TV Show,Maharakshak Devi,Desconocido,"Umang Jain, Indraneil Sengupta, Rohit Bakshi, Karan Suchak, Shresth Kumar, Ankit Gera, Rushiraj Pawar, Nikita Sharma, Varun Kapoor, Kamalika Guha Thakurta, Sahil Uppal, Charu Asopa",2017-04-15,2015,TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",netflix,Para adolescentes,"['International TV Shows', ' TV Action & Adventure', ' TV Sci-Fi & Fantasy']"
s7383,TV Show,Maharakshak: Aryan,Desconocido,"Aakarshan Singh, Vikramjeet Virk, Reena Aggarwal, Khalid Siddiqui, Abigail Jain, Rishabh Jain",2017-04-01,2014,TV-14,1 Season,"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",netflix,Para adolescentes,"['International TV Shows', ' TV Action & Adventure', ' TV Sci-Fi & Fantasy']"
s7384,TV Show,Mahi Way,Desconocido,"Pushtii Shakti, Viraf Patel, Siddhant Karnick, Monica Khanna, Amrita Raichand, Suparna Marwah, Mark Farokh Parekh",2018-03-01,2010,TV-14,1 Season,"International TV Shows, TV Comedies",netflix,Para adolescentes,"['International TV Shows', ' TV Comedies']"
s7385,Movie,Mahjong Heroes,Li Pei-Chuan,"Patrick Tse, Betty Ting Pei, Hua Yueh, Chin Siu Ho, Lau Hak-Suen, Kwan Hoi-san",2018-08-16,1981,TV-PG,92 min,"Comedies, International Movies",netflix,Para niños mayores,"['Comedies', ' International Movies']"
s7386,TV Show,Mahmut & Meryem,Desconocido,"Aras Bulut Ä°ynemli, Eva Dedova, Fahreddin Manafov, Melahat Abbasova, Polat Bilgin, Mehmet Ãevik, Shamil Suleimanov, Åafak BaÅkaya, Ä°lker KÄ±zmaz, Kristina Krepela, Ufuk Åen",2016-12-26,2013,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",netflix,Para adolescentes,"['International TV Shows', ' Romantic TV Shows', ' TV Dramas']"
s7387,Movie,Maine Pyaar Kyun Kiya,David Dhawan,"Salman Khan, Sushmita Sen, Sohail Khan, Katrina Kaif, Arshad Warsi, Isha Koppikar, Rajpal Yadav, Beena Kak",2019-12-31,2005,TV-14,137 min,"Comedies, International Movies, Music & Musicals",netflix,Para adolescentes,"['Comedies', ' International Movies', ' Music & Musicals']"
s7388,Movie,Maine Pyar Kiya,Sooraj R. Barjatya,"Salman Khan, Bhagyashree, Alok Nath, Rajeev Verma, Reema Lagoo, Ajit Vachani, Harish Patel, Deep Dhillon, Pervin Dastur, Mohnish Bahl",2018-01-01,1989,TV-PG,192 min,"Dramas, International Movies, Music & Musicals",netflix,Para niños mayores,"['Dramas', ' International Movies', ' Music & Musicals']"
s7389,Movie,Mala Kahich Problem Nahi,Sameer Vidwans,"Gashmeer Mahajani, Spruha Joshi, Nirmiti Sawant, Vijay Nikam, Satish Alekar, Mangal Kenkre, Kamlesh Sawant, Seema Deshmukh",2018-11-15,2017,TV-PG,132 min,"Dramas, International Movies",netflix,Para niños mayores,"['Dramas', ' International Movies']"
s7390,Movie,Malicious,Michael Winnick,"Bojana Novakovic, Josh Stewart, Delroy Lindo, Melissa Bolona, Yvette Yates, Luke Edwards, Jaqueline Fleming, Ben VanderMey, Presley Richardson, Joy Kate Lawson",2019-02-01,2018,TV-MA,91 min,Horror Movies,netflix,Para adultos,['Horror Movies']
s7391,Movie,Man of Tai Chi,Keanu Reeves,"Keanu Reeves, Tiger Chen, Karen Mok, Simon Yam, Qing Ye, Hai Yu, Sam Lee, Iko Uwais",2018-07-26,2013,R,105 min,"Action & Adventure, Dramas",netflix,Para adultos,"['Action & Adventure', ' Dramas']"
s7392,Movie,Man Up,Ben Palmer,"Lake Bell, Simon Pegg, Ophelia Lovibond, Olivia Williams, Rory Kinnear, Henry Lloyd-Hughes, Ken Stott, Sharon Horgan, Harriet Walter, Stephen Campbell Moore, Dean-Charles Chapman, Phoebe Waller-Bridge",2018-09-04,2015,R,88 min,"Comedies, International Movies, Romantic Movies",netflix,Para adultos,"['Comedies', ' International Movies', ' Romantic Movies']"
s7393,TV Show,Man vs Wild with Sunny Leone,Desconocido,"Bear Grylls, Sunny Leone",2018-12-01,2018,TV-PG,1 Season,"International TV Shows, Reality TV, TV Action & Adventure",netflix,Para niños mayores,"['International TV Shows', ' Reality TV', ' TV Action & Adventure']"
s7394,Movie,Mandi,Shyam Benegal,"Shabana Azmi, Smita Patil, Naseeruddin Shah, Amrish Puri, Kulbhushan Kharbanda, Saeed Jaffrey, Om Puri, Sreela Mazumdar, Neena Gupta",2020-01-01,1983,TV-MA,155 min,"Dramas, Independent Movies, International Movies",netflix,Para adultos,"['Dramas', ' Independent Movies', ' International Movies']"
s7395,Movie,Mandobasar Galpo,Tathagata Banerjee,"Paoli Dam, Parambrata Chattopadhyay, Indrasish Roy, Koushik Sen, Biswajit Chakraborty",2018-04-01,2017,TV-14,103 min,"Dramas, International Movies, Romantic Movies",netflix,Para adolescentes,"['Dramas', ' International Movies', ' Romantic Movies']"
s7396,Movie,Manglehorn,David Gordon Green,"Al Pacino, Holly Hunter, Harmony Korine, Chris Messina, Skylar Gasper, Brian D. Mays, Herculano Trevino, Angela Woods",2017-04-16,2014,PG-13,97 min,"Dramas, Independent Movies",netflix,Para adolescentes,"['Dramas', ' Independent Movies']"
s7397,Movie,Mango Dreams,John Upchurch,"Ram Gopal Bajaj, Pankaj Tripathi, Sameer Kochhar",2018-03-15,2016,TV-14,92 min,"Dramas, Independent Movies",netflix,Para adolescentes,"['Dramas', ' Independent Movies']"
s7398,Movie,Manhattan Romance,Tom O'Brien,"Tom O'Brien, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann, Louis Cancelmi, Zach Grenier",2017-09-08,2014,TV-14,98 min,"Comedies, Independent Movies, Romantic Movies",netflix,Para adolescentes,"['Comedies', ' Independent Movies', ' Romantic Movies']"
